Name,Detailed,Total
Candidat_725729,"[10, 10, 10, 10, 40, 20]",100
Candidat_725728,"[10, 10, 10, 10, 40, 20]",100
Candidat_725727,"[10, 10, 10, 10, 40, 20]",100
Candidat_725726,"[10, 10, 10, 10, 40, 20]",100
Candidat_725725,"[10, 10, 10, 10, 40, 20]",100
Candidat_725724,"[10, 10, 10, 10, 40, 20]",100
Candidat_725723,"[10, 10, 10, 10, 40, 20]",100
Candidat_725722,"[10, 10, 10, 10, 40, 20]",100
Candidat_725721,"[10, 10, 10, 10, 40, 20]",100
Candidat_725720,"[10, 10, 10, 10, 40, 20]",100
Candidat_725719,"[10, 10, 10, 10, 40, 20]",100
Candidat_725718,"[10, 10, 10, 10, 40, 20]",100
Candidat_725717,"[10, 10, 10, 10, 40, 20]",100
Candidat_725716,"[10, 10, 10, 10, 40, 20]",100
Candidat_725714,"[10, 10, 10, 10, 40, 20]",100
Candidat_726511,"[10, 10, 10, 10, 40, 20]",100
Candidat_725713,"[10, 10, 10, 10, 40, 20]",100
Candidat_725712,"[10, 10, 10, 10, 40, 20]",100
Candidat_725711,"[10, 10, 10, 10, 40, 20]",100
Candidat_725710,"[10, 10, 10, 10, 40, 20]",100
Candidat_725709,"[10, 10, 10, 10, 40, 20]",100
Candidat_725708,"[10, 10, 10, 10, 40, 20]",100
Candidat_725707,"[10, 10, 10, 10, 40, 20]",100
Candidat_725706,"[10, 10, 10, 10, 40, 20]",100
Candidat_725705,"[10, 10, 10, 10, 40, 20]",100
Candidat_725704,"[10, 10, 10, 10, 40, 20]",100
Candidat_725703,"[10, 10, 10, 10, 40, 20]",100
Candidat_725702,"[10, 10, 10, 10, 40, 20]",100
Candidat_725701,"[10, 10, 10, 10, 40, 20]",100
Candidat_725700,"[10, 10, 10, 10, 40, 20]",100
Candidat_725730,"[10, 10, 10, 10, 40, 20]",100
Candidat_726512,"[10, 10, 10, 10, 40, 20]",100
Candidat_726544,"[10, 10, 10, 10, 40, 20]",100
Candidat_726529,"[10, 10, 10, 10, 40, 20]",100
Candidat_726543,"[10, 10, 10, 10, 40, 20]",100
Candidat_726542,"[10, 10, 10, 10, 40, 20]",100
Candidat_726541,"[10, 10, 10, 10, 40, 20]",100
Candidat_726540,"[10, 10, 10, 10, 40, 20]",100
Candidat_726539,"[10, 10, 10, 10, 40, 20]",100
Candidat_726538,"[10, 10, 10, 10, 40, 20]",100
Candidat_726537,"[10, 10, 10, 10, 40, 20]",100
Candidat_726536,"[10, 10, 10, 10, 40, 20]",100
Candidat_726535,"[10, 10, 10, 10, 40, 20]",100
Candidat_726534,"[10, 10, 10, 10, 40, 20]",100
Candidat_726533,"[10, 10, 10, 10, 40, 20]",100
Candidat_726532,"[10, 10, 10, 10, 40, 20]",100
Candidat_726531,"[10, 10, 10, 10, 40, 20]",100
Candidat_726530,"[10, 10, 10, 10, 40, 20]",100
Candidat_726528,"[10, 10, 10, 10, 40, 20]",100
Candidat_726513,"[10, 10, 10, 10, 40, 20]",100
Candidat_726527,"[10, 10, 10, 10, 40, 20]",100
Candidat_726526,"[10, 10, 10, 10, 40, 20]",100
Candidat_726525,"[10, 10, 10, 10, 40, 20]",100
Candidat_726524,"[10, 10, 10, 10, 40, 20]",100
Candidat_726523,"[10, 10, 10, 10, 40, 20]",100
Candidat_726522,"[10, 10, 10, 10, 40, 20]",100
Candidat_726521,"[10, 10, 10, 10, 40, 20]",100
Candidat_726520,"[10, 10, 10, 10, 40, 20]",100
Candidat_726519,"[10, 10, 10, 10, 40, 20]",100
Candidat_726518,"[10, 10, 10, 10, 40, 20]",100
Candidat_726517,"[10, 10, 10, 10, 40, 20]",100
Candidat_726516,"[10, 10, 10, 10, 40, 20]",100
Candidat_726515,"[10, 10, 10, 10, 40, 20]",100
Candidat_726514,"[10, 10, 10, 10, 40, 20]",100
Candidat_724002,"[10, 10, 10, 10, 40, 20]",100
Candidat_724001,"[10, 10, 10, 10, 40, 20]",100
Candidat_724000,"[10, 10, 10, 10, 40, 20]",100
Candidat_721474,"[10, 10, 10, 10, 40, 20]",100
Candidat_721488,"[10, 10, 10, 10, 40, 20]",100
Candidat_721487,"[10, 10, 10, 10, 40, 20]",100
Candidat_721486,"[10, 10, 10, 10, 40, 20]",100
Candidat_721485,"[10, 10, 10, 10, 40, 20]",100
Candidat_721484,"[10, 10, 10, 10, 40, 20]",100
Candidat_721483,"[10, 10, 10, 10, 40, 20]",100
Candidat_721482,"[10, 10, 10, 10, 40, 20]",100
Candidat_721481,"[10, 10, 10, 10, 40, 20]",100
Candidat_721480,"[10, 10, 10, 10, 40, 20]",100
Candidat_721479,"[10, 10, 10, 10, 40, 20]",100
Candidat_721478,"[10, 10, 10, 10, 40, 20]",100
Candidat_721477,"[10, 10, 10, 10, 40, 20]",100
Candidat_721476,"[10, 10, 10, 10, 40, 20]",100
Candidat_721475,"[10, 10, 10, 10, 40, 20]",100
Candidat_721473,"[10, 10, 10, 10, 40, 20]",100
Candidat_721490,"[10, 10, 10, 10, 40, 20]",100
Candidat_721472,"[10, 10, 10, 10, 40, 20]",100
Candidat_721471,"[10, 10, 10, 10, 40, 20]",100
Candidat_720690,"[10, 10, 10, 10, 40, 20]",100
Candidat_720689,"[10, 10, 10, 10, 40, 20]",100
Candidat_720688,"[10, 10, 10, 10, 40, 20]",100
Candidat_720687,"[10, 10, 10, 10, 40, 20]",100
Candidat_720686,"[10, 10, 10, 10, 40, 20]",100
Candidat_720685,"[10, 10, 10, 10, 40, 20]",100
Candidat_720684,"[10, 10, 10, 10, 40, 20]",100
Candidat_720683,"[10, 10, 10, 10, 40, 20]",100
Candidat_720682,"[10, 10, 10, 10, 40, 20]",100
Candidat_720681,"[10, 10, 10, 10, 40, 20]",100
Candidat_720680,"[10, 10, 10, 10, 40, 20]",100
Candidat_720679,"[10, 10, 10, 10, 40, 20]",100
Candidat_721489,"[10, 10, 10, 10, 40, 20]",100
Candidat_721491,"[10, 10, 10, 10, 40, 20]",100
Candidat_720677,"[10, 10, 10, 10, 40, 20]",100
Candidat_721508,"[10, 10, 10, 10, 40, 20]",100
Candidat_721522,"[10, 10, 10, 10, 40, 20]",100
Candidat_721521,"[10, 10, 10, 10, 40, 20]",100
Candidat_721520,"[10, 10, 10, 10, 40, 20]",100
Candidat_721519,"[10, 10, 10, 10, 40, 20]",100
Candidat_721518,"[10, 10, 10, 10, 40, 20]",100
Candidat_721517,"[10, 10, 10, 10, 40, 20]",100
Candidat_721516,"[10, 10, 10, 10, 40, 20]",100
Candidat_721515,"[10, 10, 10, 10, 40, 20]",100
Candidat_721514,"[10, 10, 10, 10, 40, 20]",100
Candidat_721513,"[10, 10, 10, 10, 40, 20]",100
Candidat_721512,"[10, 10, 10, 10, 40, 20]",100
Candidat_721511,"[10, 10, 10, 10, 40, 20]",100
Candidat_721510,"[10, 10, 10, 10, 40, 20]",100
Candidat_721509,"[10, 10, 10, 10, 40, 20]",100
Candidat_721507,"[10, 10, 10, 10, 40, 20]",100
Candidat_721492,"[10, 10, 10, 10, 40, 20]",100
Candidat_721506,"[10, 10, 10, 10, 40, 20]",100
Candidat_721505,"[10, 10, 10, 10, 40, 20]",100
Candidat_721504,"[10, 10, 10, 10, 40, 20]",100
Candidat_721503,"[10, 10, 10, 10, 40, 20]",100
Candidat_721502,"[10, 10, 10, 10, 40, 20]",100
Candidat_721501,"[10, 10, 10, 10, 40, 20]",100
Candidat_721500,"[10, 10, 10, 10, 40, 20]",100
Candidat_721499,"[10, 10, 10, 10, 40, 20]",100
Candidat_721498,"[10, 10, 10, 10, 40, 20]",100
Candidat_721497,"[10, 10, 10, 10, 40, 20]",100
Candidat_721496,"[10, 10, 10, 10, 40, 20]",100
Candidat_721495,"[10, 10, 10, 10, 40, 20]",100
Candidat_721494,"[10, 10, 10, 10, 40, 20]",100
Candidat_721493,"[10, 10, 10, 10, 40, 20]",100
Candidat_720678,"[10, 10, 10, 10, 40, 20]",100
Candidat_720676,"[10, 10, 10, 10, 40, 20]",100
Candidat_721524,"[10, 10, 10, 10, 40, 20]",100
Candidat_719846,"[10, 10, 10, 10, 40, 20]",100
Candidat_720640,"[10, 10, 10, 10, 40, 20]",100
Candidat_720639,"[10, 10, 10, 10, 40, 20]",100
Candidat_720638,"[10, 10, 10, 10, 40, 20]",100
Candidat_720637,"[10, 10, 10, 10, 40, 20]",100
Candidat_720636,"[10, 10, 10, 10, 40, 20]",100
Candidat_720635,"[10, 10, 10, 10, 40, 20]",100
Candidat_720634,"[10, 10, 10, 10, 40, 20]",100
Candidat_720633,"[10, 10, 10, 10, 40, 20]",100
Candidat_720632,"[10, 10, 10, 10, 40, 20]",100
Candidat_720631,"[10, 10, 10, 10, 40, 20]",100
Candidat_719850,"[10, 10, 10, 10, 40, 20]",100
Candidat_719849,"[10, 10, 10, 10, 40, 20]",100
Candidat_719848,"[10, 10, 10, 10, 40, 20]",100
Candidat_719847,"[10, 10, 10, 10, 40, 20]",100
Candidat_719845,"[10, 10, 10, 10, 40, 20]",100
Candidat_720642,"[10, 10, 10, 10, 40, 20]",100
Candidat_719844,"[10, 10, 10, 10, 40, 20]",100
Candidat_719843,"[10, 10, 10, 10, 40, 20]",100
Candidat_719842,"[10, 10, 10, 10, 40, 20]",100
Candidat_719841,"[10, 10, 10, 10, 40, 20]",100
Candidat_719840,"[10, 10, 10, 10, 40, 20]",100
Candidat_719839,"[10, 10, 10, 10, 40, 20]",100
Candidat_719838,"[10, 10, 10, 10, 40, 20]",100
Candidat_719837,"[10, 10, 10, 10, 40, 20]",100
Candidat_719836,"[10, 10, 10, 10, 40, 20]",100
Candidat_719835,"[10, 10, 10, 10, 40, 20]",100
Candidat_719834,"[10, 10, 10, 10, 40, 20]",100
Candidat_719833,"[10, 10, 10, 10, 40, 20]",100
Candidat_719832,"[10, 10, 10, 10, 40, 20]",100
Candidat_719831,"[10, 10, 10, 10, 40, 20]",100
Candidat_720641,"[10, 10, 10, 10, 40, 20]",100
Candidat_720643,"[10, 10, 10, 10, 40, 20]",100
Candidat_720675,"[10, 10, 10, 10, 40, 20]",100
Candidat_720660,"[10, 10, 10, 10, 40, 20]",100
Candidat_720674,"[10, 10, 10, 10, 40, 20]",100
Candidat_720673,"[10, 10, 10, 10, 40, 20]",100
Candidat_720672,"[10, 10, 10, 10, 40, 20]",100
Candidat_720671,"[10, 10, 10, 10, 40, 20]",100
Candidat_720670,"[10, 10, 10, 10, 40, 20]",100
Candidat_720669,"[10, 10, 10, 10, 40, 20]",100
Candidat_720668,"[10, 10, 10, 10, 40, 20]",100
Candidat_720667,"[10, 10, 10, 10, 40, 20]",100
Candidat_720666,"[10, 10, 10, 10, 40, 20]",100
Candidat_720665,"[10, 10, 10, 10, 40, 20]",100
Candidat_720664,"[10, 10, 10, 10, 40, 20]",100
Candidat_720663,"[10, 10, 10, 10, 40, 20]",100
Candidat_720662,"[10, 10, 10, 10, 40, 20]",100
Candidat_720661,"[10, 10, 10, 10, 40, 20]",100
Candidat_720659,"[10, 10, 10, 10, 40, 20]",100
Candidat_720644,"[10, 10, 10, 10, 40, 20]",100
Candidat_720658,"[10, 10, 10, 10, 40, 20]",100
Candidat_720657,"[10, 10, 10, 10, 40, 20]",100
Candidat_720656,"[10, 10, 10, 10, 40, 20]",100
Candidat_720655,"[10, 10, 10, 10, 40, 20]",100
Candidat_720654,"[10, 10, 10, 10, 40, 20]",100
Candidat_720653,"[10, 10, 10, 10, 40, 20]",100
Candidat_720652,"[10, 10, 10, 10, 40, 20]",100
Candidat_720651,"[10, 10, 10, 10, 40, 20]",100
Candidat_720650,"[10, 10, 10, 10, 40, 20]",100
Candidat_720649,"[10, 10, 10, 10, 40, 20]",100
Candidat_720648,"[10, 10, 10, 10, 40, 20]",100
Candidat_720647,"[10, 10, 10, 10, 40, 20]",100
Candidat_720646,"[10, 10, 10, 10, 40, 20]",100
Candidat_720645,"[10, 10, 10, 10, 40, 20]",100
Candidat_721523,"[10, 10, 10, 10, 40, 20]",100
Candidat_721525,"[10, 10, 10, 10, 40, 20]",100
Candidat_723999,"[10, 10, 10, 10, 40, 20]",100
Candidat_723170,"[10, 10, 10, 10, 40, 20]",100
Candidat_723184,"[10, 10, 10, 10, 40, 20]",100
Candidat_723183,"[10, 10, 10, 10, 40, 20]",100
Candidat_723182,"[10, 10, 10, 10, 40, 20]",100
Candidat_723181,"[10, 10, 10, 10, 40, 20]",100
Candidat_723180,"[10, 10, 10, 10, 40, 20]",100
Candidat_723179,"[10, 10, 10, 10, 40, 20]",100
Candidat_723178,"[10, 10, 10, 10, 40, 20]",100
Candidat_723177,"[10, 10, 10, 10, 40, 20]",100
Candidat_723176,"[10, 10, 10, 10, 40, 20]",100
Candidat_723175,"[10, 10, 10, 10, 40, 20]",100
Candidat_723174,"[10, 10, 10, 10, 40, 20]",100
Candidat_723173,"[10, 10, 10, 10, 40, 20]",100
Candidat_723172,"[10, 10, 10, 10, 40, 20]",100
Candidat_723171,"[10, 10, 10, 10, 40, 20]",100
Candidat_723169,"[10, 10, 10, 10, 40, 20]",100
Candidat_723186,"[10, 10, 10, 10, 40, 20]",100
Candidat_723168,"[10, 10, 10, 10, 40, 20]",100
Candidat_723167,"[10, 10, 10, 10, 40, 20]",100
Candidat_723166,"[10, 10, 10, 10, 40, 20]",100
Candidat_723165,"[10, 10, 10, 10, 40, 20]",100
Candidat_723164,"[10, 10, 10, 10, 40, 20]",100
Candidat_723163,"[10, 10, 10, 10, 40, 20]",100
Candidat_723162,"[10, 10, 10, 10, 40, 20]",100
Candidat_723161,"[10, 10, 10, 10, 40, 20]",100
Candidat_723160,"[10, 10, 10, 10, 40, 20]",100
Candidat_723159,"[10, 10, 10, 10, 40, 20]",100
Candidat_723158,"[10, 10, 10, 10, 40, 20]",100
Candidat_723157,"[10, 10, 10, 10, 40, 20]",100
Candidat_723156,"[10, 10, 10, 10, 40, 20]",100
Candidat_723155,"[10, 10, 10, 10, 40, 20]",100
Candidat_723185,"[10, 10, 10, 10, 40, 20]",100
Candidat_723187,"[10, 10, 10, 10, 40, 20]",100
Candidat_723153,"[10, 10, 10, 10, 40, 20]",100
Candidat_723204,"[10, 10, 10, 10, 40, 20]",100
Candidat_723998,"[10, 10, 10, 10, 40, 20]",100
Candidat_723997,"[10, 10, 10, 10, 40, 20]",100
Candidat_723996,"[10, 10, 10, 10, 40, 20]",100
Candidat_723995,"[10, 10, 10, 10, 40, 20]",100
Candidat_723994,"[10, 10, 10, 10, 40, 20]",100
Candidat_723993,"[10, 10, 10, 10, 40, 20]",100
Candidat_723992,"[10, 10, 10, 10, 40, 20]",100
Candidat_723991,"[10, 10, 10, 10, 40, 20]",100
Candidat_723210,"[10, 10, 10, 10, 40, 20]",100
Candidat_723209,"[10, 10, 10, 10, 40, 20]",100
Candidat_723208,"[10, 10, 10, 10, 40, 20]",100
Candidat_723207,"[10, 10, 10, 10, 40, 20]",100
Candidat_723206,"[10, 10, 10, 10, 40, 20]",100
Candidat_723205,"[10, 10, 10, 10, 40, 20]",100
Candidat_723203,"[10, 10, 10, 10, 40, 20]",100
Candidat_723188,"[10, 10, 10, 10, 40, 20]",100
Candidat_723202,"[10, 10, 10, 10, 40, 20]",100
Candidat_723201,"[10, 10, 10, 10, 40, 20]",100
Candidat_723200,"[10, 10, 10, 10, 40, 20]",100
Candidat_723199,"[10, 10, 10, 10, 40, 20]",100
